Frame,AnkleX,AnkleY,HeelX,HeelY,MetatX,MetatY,ToeX,ToeY,KneeX,KneeY,HipX,HipY,GroundRX,GroundRY,AnkleRX,AnkleRY,GroundCoFPX,AnkleM,KneeRX,KneeRY,KneeM,HipRX,HipRY,HipM,FootAA,FootAX,FootAY,FootCoMX,FootCoMY,LegAX,LegAY,LegAA,LegCoMX,LegCoMY,ThighAA,ThighAX,ThighAY,ThighCoMX,ThighCoMY
1,8.379,21.44,2.95,24.24,7.53,9.35,11.73,3.63,36.9,47.4,40.446,78.58,0,0,20.9,3.9,0,1.6,52,31.6,7,59.7,112.1,22.9,118.27,26.623,-7.641,0.089,0.153,9.922,0.651,40.67,0.272,0.362,24.42,-0.555,5.57,0.43,0.652
2,11.43,22.46,7.23,26.02,10.54,10.63,13.72,4.77,40.518,46.89,42.579,78.58,0,0,19.8,0,0,1.6,41.1,27.1,7,30.3,117.1,17.8,138.72,22.657,-11.599,0.12,0.165,5.997,0.138,56.27,0.308,0.366,18.34,-3.05,6.399,0.46,0.652
3,14.841,23.73,10.64,27.3,14.2,12.03,17.63,6.43,43.812,47.27,44.613,78.71,0,0,17.6,-3.1,0,1.5,30.8,22.2,6.9,9.1,116.7,13.8,142.01,20.857,-15.714,0.155,0.174,3.713,-0.784,66.77,0.347,0.37,12.48,-4.553,7.143,0.489,0.653
4,18.729,24.37,14.71,27.55,18.78,12.53,22.47,6.94,47.25,47.53,46.566,79.21,0,0,14.9,-5,0,1.3,22,17.8,6.5,-3.8,111.5,10.8,132.71,17.366,-17.216,0.195,0.18,1.716,-1.789,71.22,0.386,0.374,5.97,-4.623,6.573,0.518,0.655
5,22.464,24.24,18.72,27.42,23.17,12.66,27.12,7.32,50.517,47.91,47.997,79.09,0,0,12.3,-5.5,0,1.1,15.1,14.6,5.8,-9.4,102.8,8.5,115.36,13.416,-15.735,0.239,0.183,0.338,-2.673,70.05,0.425,0.378,-1.93,-3.849,4.802,0.546,0.659
6,26.397,24.62,23.09,27.17,28.31,12.41,32.51,6.81,53.883,48.67,49.869,79.98,0,0,10.3,-4.7,0,0.9,10.1,12.7,4.8,-10.6,91.7,6.7,93.06,12.096,-15.287,0.287,0.182,-0.492,-3.796,64.35,0.465,0.381,-10.64,-3.339,3.289,0.572,0.664
7,30.213,23.73,26.95,26.02,33.44,12.03,38.02,6.81,57.006,49.44,51.057,80.49,0,0,8.6,-3,0,0.7,6.5,12.2,3.6,-10,80.4,5,68.58,10.1,-12.499,0.336,0.178,-1.06,-4.584,55.75,0.505,0.384,-18.57,-2.626,1.218,0.598,0.67
8,34.902,23.22,31.27,25.01,39.55,11.26,44.38,6.3,60.21,50.84,53.001,81,0,0,7.3,-0.7,0,0.6,4.1,13.4,2.3,-9.8,71.3,3.4,44.92,8.745,-9.211,0.388,0.171,-1.343,-4.728,46.45,0.545,0.385,-24.25,-2.271,-0.353,0.624,0.677
9,38.799,22.21,35.73,22.84,45.01,10.24,50.36,6.04,62.964,51.09,54.711,81.12,0,0,6.3,2,0,0.5,2.5,15.9,1,-10.4,65,2,25.05,7.031,-5.26,0.442,0.162,-1.384,-4.347,38.02,0.584,0.386,-27.38,-2.188,-1.796,0.648,0.683
10,43.335,21.06,40.64,20.93,51.46,8.97,57.05,5.28,65.898,51.73,56.502,82.01,0,0,5.5,4.8,0,0.4,1.4,19.1,-0.1,-11.7,60,0.9,10.88,6.603,-2.133,0.497,0.152,-1.623,-4.443,30.5,0.624,0.386,-28.82,-2.346,-3.425,0.673,0.689
11,47.907,20.04,45.73,19.02,57.56,8.21,63.54,5.15,68.643,53,58.221,82.4,0,0,4.7,7.5,0,0.4,0.4,22.8,-1,-13.3,56.1,0,2.33,5.531,1.442,0.554,0.14,-1.621,-3.943,23.32,0.662,0.385,-29.42,-2.563,-4.639,0.697,0.695
12,52.443,18.52,51.27,16.86,63.99,7.44,70.23,5.03,71.109,53.51,60.003,82.78,0,0,3.7,10.2,0,0.5,-0.9,27.1,-1.9,-15.2,54.5,-0.8,-2.26,3.828,4.416,0.612,0.129,-1.711,-2.945,16.47,0.701,0.383,-29.22,-2.461,-5.131,0.72,0.7
13,57.312,16.86,56.56,14.44,70.3,6.3,76.79,4.52,73.458,54.15,61.785,82.65,0,0,2.5,12.6,0,0.5,-2.8,31.8,-2.7,-18.1,55.5,-1.5,-4.67,2.384,7.733,0.671,0.118,-2.188,-2.225,10.44,0.739,0.38,-27.99,-2.852,-5.998,0.743,0.704
14,62.298,15.59,62.23,12.66,76.73,5.79,83.48,4.77,75.591,54.53,63.792,83.16,0,0,0.9,14.7,0,0.6,-5.7,36.2,-3.5,-21.7,57.6,-2.5,-5.67,0.096,10.021,0.731,0.109,-2.83,-1.366,5.57,0.777,0.377,-26.18,-2.925,-6.284,0.766,0.706
15,67.248,14.44,68.23,11.01,83.63,5.66,90.12,5.54,77.904,54.78,65.871,82.9,0,0,-0.9,16.1,0,0.6,-9.5,39.6,-4.2,-25.3,59.9,-3.6,-5.01,-2.179,10.555,0.791,0.101,-3.508,-0.606,1.65,0.814,0.374,-24.68,-2.532,-5.999,0.787,0.708
16,72.324,13.43,74.13,9.1,89.53,5.28,96.14,5.54,79.659,54.91,67.401,83.03,0,0,-3,16.8,0,0.6,-14.2,42,-4.9,-28.4,62.3,-5,-3.24,-5.266,11.954,0.851,0.096,-4.829,-0.076,-2,0.851,0.37,-23.85,-2.357,-6.286,0.809,0.708
17,77.274,12.66,80.01,7.57,95.53,5.79,102.4,6.55,81.513,54.91,69.255,82.9,0,0,-5.4,17,0,0.6,-19.7,43.4,-5.8,-31.3,65.1,-6.7,-3.16,-8.625,11.741,0.909,0.093,-6.043,0.284,-6.16,0.886,0.366,-23.01,-1.858,-5.929,0.829,0.707
18,82.386,12.03,86.32,6.55,101.72,5.79,108.84,7.7,83.754,54.65,71.271,82.65,0,0,-8.3,16.3,0,0.6,-25.5,43.7,-6.8,-33.4,69,-8.7,-8.11,-12.628,10.385,0.967,0.092,-7.044,0.643,-11.89,0.921,0.362,-20.96,-1.003,-5.001,0.85,0.704
19,87.165,11.64,92.02,5.41,107.79,6.17,114.16,8.97,85.104,54.02,73.08,82.4,0,0,-11.5,14.8,0,0.5,-30.7,42.7,-8,-33.9,74.4,-10.5,-19.17,-15.923,7.16,1.023,0.094,-7.176,0.669,-20.2,0.954,0.358,-16.94,-0.07,-3.335,0.87,0.701
20,91.305,11.77,97.5,5.15,113.28,7.7,119.39,10.88,86.49,54.02,74.808,82.14,0,0,-14.9,12.2,0,0.3,-35.5,40.7,-9.4,-33.1,82.1,-12.2,-34.96,-21.349,3.813,1.075,0.097,-8.048,1.075,-31.54,0.986,0.355,-11.04,0.924,-1.574,0.889,0.696
21,95.904,11.77,103.13,4.77,118.78,8.21,124.38,12.15,88.344,53.25,77.121,81.5,0,0,-18.1,9,0,0.1,-39.9,38.2,-11.1,-32.1,91.9,-14,-53.64,-25.28,-0.762,1.124,0.102,-8.551,1.362,-45.55,1.017,0.352,-4.04,1.853,0.855,0.909,0.692
22,99.612,11.52,108.39,4.14,123.15,9.35,128.24,13.3,89.757,51.86,78.993,80.49,0,0,-20.8,5.2,0,-0.1,-43.9,34.9,-12.8,-30.9,100.1,-16,-73.48,-26.397,-5.382,1.168,0.107,-8.452,1.271,-60.6,1.045,0.348,2.83,2.596,2.398,0.93,0.687
23,103.365,12.15,112.43,4.9,126.94,10.88,131.77,15.33,91.224,51.73,80.919,80.61,0,0,-22.7,1.6,0,-0.3,-46.6,30.6,-14.3,-29.4,103.1,-17.9,-91.19,-29.999,-10.201,1.206,0.111,-9.275,0.861,-73.46,1.072,0.346,8.12,3.424,3.498,0.95,0.682
24,106.497,12.15,116.3,5.28,130.55,11.39,135.39,16.23,93.213,51.09,83.025,80.49,0,0,-23.2,-1.2,0,-0.5,-47.3,26.1,-15.1,-27.9,101.5,-19.1,-102.29,-29.714,-12.994,1.239,0.114,-9.137,0.002,-80.46,1.097,0.343,10.77,3.569,3.642,0.972,0.678
25,108.675,12.28,118.84,4.65,133.22,11.64,137.8,16.73,94.707,50.96,84.969,80.1,0,0,-22.2,-2.4,0,-0.5,-45.3,23.3,-14.6,-26.8,99.4,-18.7,-104.08,-27.286,-13.287,1.266,0.114,-8.571,-0.357,-79.07,1.12,0.34,10.49,3.069,3.713,0.994,0.675
26,110.691,12.03,121.34,4.14,135.21,11.39,139.79,16.23,96.831,50.84,87.327,79.72,0,0,-19.5,-1.7,0,-0.5,-40.6,24.1,-12.7,-26.5,100.7,-16.1,-97.5,-21.267,-10.274,1.286,0.111,-7.138,0.065,-68.79,1.141,0.338,7.65,1.865,3.599,1.016,0.672
27,111.879,11.9,122.14,3.75,136.27,10.37,140.85,15.21,98.937,50.58,89.433,79.98,0,0,-15.6,1,0,-0.3,-34.1,29.1,-9.5,-27.3,106.9,-11.7,-85.55,-17.359,-6.585,1.302,0.106,-6.508,1.497,-51.73,1.161,0.335,3.48,0.426,4.142,1.04,0.671
28,112.446,10.63,122.65,3.25,137.16,8.97,141.99,13.68,101.106,50.46,91.377,79.34,37.3,87.1,-48.7,-82.4,1.227,-1.7,-64.3,-50.2,-33.8,-66.1,29.7,-54.4,-68.8,-12.146,-1.448,1.314,0.099,-5.51,3.14,-32.87,1.179,0.333,0.13,-1.073,4.642,1.063,0.67
29,113.247,9.61,123.03,3.5,137.66,7.95,142.88,11.9,103.401,50.33,94.005,79.6,-4.2,192.6,-3.8,-184.1,1.244,4.6,-16.8,-148.2,-19.9,-26.3,-66.4,-37.6,-43.96,-7.738,2.78,1.322,0.092,-4.211,4.064,-18.01,1.196,0.331,-0.49,-2.202,4.466,1.087,0.669
30,114.318,9.74,123.2,4.14,138.34,6.3,144.45,10.24,105.264,50.46,96.102,79.6,-43.7,304.1,38.2,-292.9,1.261,8.3,27.2,-255.2,-7.6,12.4,-173.3,-23.5,-10.5,-6.078,5.763,1.329,0.084,-3.869,3.497,-9.85,1.212,0.329,1.69,-3.002,4.642,1.11,0.67
31,115.038,9.48,123.12,4.01,138.77,5.41,145.13,8.59,106.677,50.33,97.974,79.6,-74,404.2,69.8,-391.4,1.291,2.8,59.9,-354.6,-4.5,41.3,-276.1,-20.8,24.51,-4.793,6.98,1.334,0.078,-3.727,4.64,-6.21,1.228,0.329,4.27,-3.715,3.642,1.133,0.672
32,115.497,9.61,123.24,4.14,139.27,4.65,145.38,6.81,108.396,50.58,100.152,80.1,-91.9,476.6,88.4,-463.4,1.29,6.9,77.7,-429.9,7.8,54.7,-359.4,-11.1,52.05,-3.873,6.385,1.339,0.073,-4.212,1.865,-2.78,1.242,0.33,3.58,-4.268,1.6,1.154,0.675
33,116.163,9.35,123.6,4.14,139.51,4.14,146.38,6.3,110.556,50.96,102.42,80.49,-102.7,521.7,99.7,-508.9,1.301,4.6,86.3,-480.2,14.5,58.3,-421,-7.8,67.24,-3.577,5.918,1.342,0.069,-5.87,-0.002,2.9,1.256,0.331,-2.78,-5.502,-0.429,1.175,0.678
34,116.505,9.61,123.98,4.39,139.63,3.37,146.25,5.41,112.725,51.86,104.022,81.38,-110.5,552.9,108.1,-541.1,1.304,5,91.5,-516.7,24.8,60.4,-468.3,-0.4,68.18,-2.718,4.493,1.345,0.066,-6.869,-1.43,10,1.269,0.332,-13.38,-5.716,-2.143,1.196,0.682
35,116.847,9.74,123.98,4.26,140.01,3.63,147.14,5.41,114.786,51.86,105.624,81.89,-114.2,579.8,112.5,-569,1.311,2.6,94.3,-547.2,31.6,63.8,-504.4,4.7,55.74,-1.645,3.068,1.347,0.065,-7.011,-1.858,15.87,1.28,0.333,-23.43,-5.29,-2.501,1.214,0.685
36,116.514,9.1,123.48,4.14,139.39,3.75,146.52,4.77,115.488,51.86,106.902,81.63,-110.5,599.6,109.4,-589.9,1.317,-0.5,91.7,-568.4,35,64.2,-526,7.3,35.86,-1.067,1.666,1.348,0.064,-6.075,-1.6,18.47,1.29,0.334,-28.36,-4.339,-2.068,1.232,0.687
37,116.766,9.35,123.89,4.65,139.8,3.63,146.54,4.9,116.883,51.86,108.864,81.63,-98.1,604.5,97.1,-595.7,1.316,0.2,80.9,-573.4,37.8,55.7,-529.1,9.9,17.08,-1.357,0.786,1.35,0.064,-6.008,-1.214,17.56,1.299,0.334,-26.92,-4.365,-1.859,1.249,0.69
38,117.09,9.23,124.24,4.52,140.02,3.75,147.27,4.52,117.774,51.6,110.79,82.27,-79.8,589.9,78.5,-581.7,1.321,-3.5,63.7,-558.2,32.5,39,-512.7,5,4.56,-2,0.143,1.351,0.064,-5.436,-0.785,14.51,1.306,0.334,-20.92,-4.509,-1.788,1.265,0.691
39,117.477,9.61,124.55,4.9,140.45,3.75,147.33,5.28,118.962,52.36,112.437,83.03,-62,558.1,60.3,-550.2,1.322,-5.1,47.2,-525.1,28.1,22.5,-478.1,3,-1.79,-2.067,0.066,1.352,0.065,-4.339,0,10.97,1.312,0.334,-12.96,-4.142,-1.269,1.28,0.693
40,117.333,9.35,124.64,4.26,140.55,3.5,147.04,4.77,119.736,51.35,114.246,82.78,-48.7,516.7,47.2,-508.7,1.325,-6.6,36.8,-481.5,24.8,13.4,-431.6,4.7,-4.87,-1.715,0.285,1.352,0.065,-3.292,0.858,7.87,1.317,0.334,-4.84,-4.011,-0.716,1.294,0.694
41,117.243,9.61,124.67,4.77,139.94,3.63,147.19,4.52,120.222,51.73,115.749,83.03,-39.8,473.4,38.8,-465.3,1.333,-10.5,32.2,-436.1,20.2,12.3,-383,6.5,-7.39,-0.786,0.57,1.352,0.065,-1.792,1.429,5.13,1.322,0.334,2.16,-3.153,-0.144,1.307,0.695
42,116.982,8.97,123.75,4.77,139.91,3.37,146.91,4.77,120.879,51.35,117.216,83.03,-33,433.4,32.7,-425.2,1.335,-10.6,29.8,-395.6,19.8,15.2,-341.7,12,-10.28,-0.001,0.532,1.352,0.065,-0.405,1.134,2.56,1.326,0.334,6.84,-1.943,-0.468,1.32,0.695
43,117.351,9.61,124.54,4.14,140.19,3.5,147.31,4.52,121.248,50.96,118.836,82.9,-27,400.3,27.2,-392.2,1.345,-14.1,27.4,-364.4,15.8,18.7,-314.3,12.5,-12.53,0.57,0.069,1.351,0.066,0.566,0.072,0.58,1.329,0.334,8.52,-1.081,-1.501,1.332,0.696
44,117.207,9.61,124.12,4.52,139.9,4.01,146.78,4.26,122.13,52.62,119.727,83.41,-21.8,377.1,22.4,-369.4,1.358,-18.7,24.6,-344.7,10.9,21,-301.1,10.9,-12.14,0.998,-0.36,1.351,0.066,1.138,-1.142,-0.22,1.333,0.335,7.81,-0.295,-2.786,1.344,0.697
45,116.901,9.48,123.91,4.77,139.82,3.63,146.95,4.26,122.634,51.86,121.374,83.54,-18.1,365,19,-357.6,1.369,-22.5,22.3,-335.4,7.8,21.9,-296.7,10.1,-8.07,1.14,-0.575,1.351,0.067,1.351,-1.928,0.1,1.337,0.336,6.1,0.135,-3.357,1.355,0.697
46,117.198,10.24,124.37,4.9,140.02,3.37,147.02,4.77,123.381,51.86,122.58,83.8,-16.6,362.3,17.4,-355,1.377,-25.3,21,-333.8,6.6,22.5,-295.3,11.2,-1.88,0.998,-0.603,1.351,0.067,1.262,-1.732,0.69,1.341,0.336,4.22,0.392,-2.667,1.367,0.696
47,117.054,9.99,124.08,4.77,140.11,3.75,146.99,4.26,124.155,51.47,124.272,82.9,-16.8,366.5,17.6,-359.1,1.384,-27.9,21,-337.2,6.6,24.4,-295,13.8,3.55,0.855,-0.289,1.351,0.067,1.209,-1.427,0.65,1.345,0.335,2.22,0.778,-1.928,1.378,0.695
48,117.423,10.12,124.36,5.03,140.01,3.25,147.01,4.01,124.866,51.6,125.442,82.9,-16.8,375,17.5,-367.3,1.39,-30.3,20.7,-343.7,7,27.3,-296.3,16.7,6.31,0.927,0.069,1.352,0.067,1.209,-0.57,-0.22,1.35,0.335,0.01,1.564,-1,1.39,0.693
49,117.441,9.99,124.64,5.28,140.16,3.12,147.04,4.52,125.235,51.09,126.603,82.78,-14.5,386.1,15.2,-378.2,1.396,-33.5,18.3,-352.3,5.9,27.9,-300.2,17.7,5.5,0.865,0.198,1.352,0.067,1.128,0.401,-1.19,1.355,0.334,-2.1,1.792,-0.266,1.402,0.691
50,117.504,9.99,124.2,4.9,139.6,3.63,146.85,4.01,126.099,51.09,127.818,82.65,-9.6,400.3,10.3,-392.4,1.406,-38.8,13,-364.3,2.3,23.4,-308.6,15.2,1.74,0.784,0.212,1.353,0.068,0.852,1.073,-1.64,1.36,0.333,-3.38,1.778,0.286,1.414,0.689
51,117.441,10.24,124.76,4.77,140.03,3.5,147.28,3.75,126.828,50.58,129.465,82.01,-3.8,418.8,4.2,-410.8,1.417,-45.1,6,-381.2,-2.3,14.5,-323,11.2,-2.68,0.284,0.426,1.354,0.068,0.494,1.573,-1.93,1.366,0.332,-3.24,1.277,0.644,1.427,0.687
52,118.143,10.24,125.17,5.28,140.18,3.63,147.18,4.14,127.998,50.84,131.436,82.4,2.2,441,-2.1,-432.7,1.412,-45.4,-0.9,-402.2,-0.1,5.7,-342.8,14.6,-5.69,-0.202,0.864,1.355,0.068,0.394,1.668,-2.99,1.371,0.332,-1.71,1.059,0.668,1.44,0.685
