,thigh_length,spring_length,spring_force,spring_x_force,spring_y_force,thigh_angle,cable_thigh_angle
1,31.427949344492713,27.025441719813426,27.025441719813426,22.986255692084555,29.285176975794556,1.696493178660846,0.5397754837324762
2,31.772632877997378,26.720528675734357,26.720528675734357,20.80383803774897,29.017209557953464,1.6429334807899174,0.5498731528490903
3,31.45259448757764,25.946305621837332,25.946305621837332,17.921189098391977,26.309382403270302,1.5990966570073473,0.5696766506375415
4,31.68911485037093,25.531410901255793,25.531410901255793,15.711727556315715,25.272977920033565,1.5468110283718912,0.5801942811150034
5,31.30546917073757,24.424712156188193,24.424712156188193,11.995635913585513,21.046772108654054,1.48123540374596,0.6075927215567889
6,31.62606045652857,24.047721593838197,24.047721593838197,10.172738735871253,19.889783560017296,1.4293017226740306,0.6142645401769793
7,31.74578082202421,23.283033402073702,23.283033402073702,7.533149876477694,16.91522909073536,1.3610450384429165,0.628729210926585
8,31.205539572325936,22.20960969967727,22.20960969967727,5.066284903776264,12.134574699356769,1.3112054117851104,0.6550988990847875
9,31.398882145707034,21.88437270938315,21.88437270938315,4.081131440036859,10.776652298195717,1.2744281901833192,0.6583797624635301
10,32.02923664404134,21.914239248634956,21.914239248634956,3.6324957253335683,11.093278364677559,1.2387775709342415,0.6484651382318016
11,31.598360716973914,20.99671650016942,20.99671650016942,2.0532725122549853,6.781216818575973,1.1955790400645312,0.669230106346894
12,31.764894144322287,20.80780592082514,20.80780592082514,1.636352783615433,5.918662366249767,1.1718157609614148,0.6687160802181351
13,31.312471956075274,20.075876227774867,20.075876227774867,0.6391901638794667,2.39730264775473,1.1437195143673278,0.6876439429267305
14,31.488871049943974,20.180834920380683,20.180834920380683,0.752678050310487,2.91008398275102,1.1413828862397808,0.682511678729987
15,31.1366552474732,19.713687574547233,19.713687574547233,0.1673762563397052,0.6488699876715878,1.126970859088436,0.6962727258184018
16,31.24482037074306,19.698675667523325,19.698675667523325,0.14315763668609327,0.5775730645426823,1.1197446734336014,0.6940158016930358
17,31.1278733613461,19.584203426170056,19.584203426170056,0.005509417508908575,0.0220099350305527,1.117924162727814,0.6981473023837967
18,31.247030258890213,19.579665625287088,19.579665625287088,-0.0,-0.0,1.1108698970657558,0.6954429139234477
19,31.367403462830648,19.943507481896898,19.943507481896898,0.44689568896776677,1.7634643911102532,1.1308179988232165,0.6881724390442585
20,30.97119306710672,19.740787583609073,19.740787583609073,0.2126574524534704,0.7770353558582688,1.1383434492781066,0.6995895850990042
21,30.879821890678063,19.89667214721856,19.89667214721856,0.44358348671412084,1.5216970999485266,1.15510380384804,0.6993383445177814
22,31.0277053614991,20.278405767132544,20.278405767132544,1.0155648710601124,3.3428390087355133,1.1750879126206342,0.690650633583461
23,31.06697442622954,20.552708191761763,20.552708191761763,1.4760805142002633,4.635890660907441,1.1933383561766249,0.6857113949178237
24,31.504006094463595,21.025501303838723,21.025501303838723,2.156906347372309,6.899911248921012,1.2032578622001049,0.6705136534209117
25,31.08395084283849,20.85756627812736,20.85756627812736,2.0404977332881766,6.054925347490729,1.2152638409274374,0.6805776064385674
26,30.75008943076426,20.664995264450265,20.664995264450265,1.80515500548465,5.117609407460238,1.2202471521316214,0.6896575787738162
27,31.238975655421232,21.12025278719076,21.12025278719076,2.487519747092035,7.290230832654583,1.2259636028507397,0.6736579163247813
28,30.83683673790164,20.63126508234443,20.63126508234443,1.706399056215868,4.973403031429087,1.212632936150837,0.6886824442644888
29,31.076140365238405,21.0225932795128,21.0225932795128,2.37466523282406,6.812633148441916,1.2281836595648814,0.6780111048099171
30,30.867005037742153,20.946036839881472,20.946036839881472,2.321646264116103,6.4252794512082545,1.2347024938171445,0.6828263276033448
31,30.825992279243824,21.137571311846138,21.137571311846138,2.751693675964175,7.287313299082478,1.251712979899762,0.6801320198112888
32,30.90851015497188,21.439826946986084,21.439826946986084,3.3852715316419886,8.662848274423268,1.2699187126581726,0.6734109025537462
33,30.88272170648176,21.469274647161736,21.469274647161736,3.470944049430592,8.787383216548255,1.2737257956903563,0.6732520264213815
34,31.063472117585306,21.355873361901985,21.355873361901985,3.0952329367515006,8.324204536021085,1.2542376223992495,0.6725519442649062
35,31.70856824266905,21.728221710132182,21.728221710132182,3.475986086800053,10.164883273677784,1.2439595491274558,0.6563313651325802
36,31.26122998219999,21.595545695838737,21.595545695838737,3.5059760179443606,9.449997017607046,1.2606790361148223,0.6653790312818024
37,31.074764681329448,21.70137092750124,21.70137092750124,3.889846341903519,9.869646912249245,1.279986821250155,0.6662385126842327
38,31.636474203046077,22.705445066482778,22.705445066482778,5.983582042140671,14.438115313987922,1.3229811180541202,0.6406986575496258
39,31.5152566227851,22.8105132398324,22.8105132398324,6.409478627026426,14.828283496076667,1.3386700307042179,0.6401190315624312
40,32.016478569636604,23.733370115134164,23.733370115134164,8.580363669383894,18.913193385187782,1.3790974894051,0.6176012109883195
41,31.69212678253071,23.901847705373058,23.901847705373058,9.582398432381922,19.37031462363199,1.4133250417076606,0.6168659213416052
42,31.94037100598551,24.476496160643688,24.476496160643688,11.207754255601337,21.768325081321027,1.443024002511771,0.6032412927396513
43,32.05223861136692,25.11320387814532,25.11320387814532,13.39264368723183,24.210291922299962,1.4870850876641877,0.5889924529029362
44,30.90554966345041,24.134453317864196,24.134453317864196,11.506522942889035,19.653300050527534,1.4842962468218441,0.6161712353058562
45,31.710919255045262,25.30860895930962,25.30860895930962,14.760579614251025,24.5488305742328,1.5266331418011008,0.5855191047693751
46,31.95239740614153,25.705774714980762,25.705774714980762,15.953546143538551,26.147938349259444,1.542938788882605,0.575689630423474
47,31.430268850265985,25.64640917893548,25.64640917893548,16.663572043414973,25.346790731713497,1.5749324789166403,0.5774399028416245
48,31.30654244722659,25.732561239511394,25.732561239511394,17.25839760598302,25.46764266794862,1.5912407623179796,0.5751302337065678
49,31.726432197774773,26.404226441739535,26.404226441739535,19.43771497286987,28.04533820566125,1.618724252435091,0.5581398810373349
50,31.61774343624162,26.455477281254694,26.455477281254694,19.890124290160845,28.04108778079862,1.6312422468859085,0.5565082011849393
51,31.56627630874444,26.77974070206389,26.77974070206389,21.511433036396998,28.86668107873105,1.663750708867383,0.5474672479053603
52,31.79034444607356,27.2788136673112,27.2788136673112,23.45177992454625,30.5276273676115,1.6912496634743317,0.5346037889025158
53,31.368680240010093,27.16045076639863,27.16045076639863,23.77775905975613,29.518227554997665,1.713459802874031,0.5354391253826608
54,31.22768323138942,27.308965093799088,27.308965093799088,24.824145678892968,29.619479201390366,1.738419334486189,0.5299229897081866
55,31.286554620155925,27.709237224162067,27.709237224162067,26.75516730866998,30.600806881779178,1.7712633995463445,0.5179826618871475
56,31.0593142229509,27.74746120910164,27.74746120910164,27.461174070477206,30.227570794648102,1.7938305329545703,0.5144468263759115
57,31.330917637375386,28.177679172856923,28.177679172856923,29.14990834069142,31.597923473452315,1.8125237248284227,0.5033945741595535
58,30.92348783691775,27.986988074708133,27.986988074708133,29.046597034072548,30.38703621536139,1.8287948831567098,0.5048498839187068
59,30.865440220414804,28.029141488602765,28.029141488602765,29.406020664967787,30.333595365046033,1.838014504645224,0.5026542719490795
60,31.128854781376077,28.407973015576722,28.407973015576722,30.88731967537465,31.53488176142854,1.8527143622465627,0.49310659348394625
61,31.16245176490451,28.474542172898907,28.474542172898907,31.17943591320487,31.71456283895017,1.8564131442825351,0.4912731571506862
62,30.80761756449206,28.195717813407526,28.195717813407526,30.451148562666745,30.47353661662482,1.859796964201692,0.49603005502409026
63,31.23133842793164,28.738228054181704,28.738228054181704,32.501517514316035,32.25884380081854,1.8768519673503423,0.4830897622444622
64,31.1624517649045,28.474542172898904,28.474542172898904,31.17943591320487,31.714562838950147,1.8564131442825351,0.4912731571506864
65,31.58098320192074,28.718629951646463,28.718629951646463,31.539481656931613,33.06475193879134,1.8439635885550116,0.4886258390362739
66,31.38903152376639,28.482971703174506,28.482971703174506,30.6883847705571,32.248170771191276,1.837411615561708,0.49400448067246294
67,31.394171433563912,28.315724826439382,28.315724826439382,29.754295478131542,31.97890179088366,1.8205648179755156,0.49960943970924265
68,31.72101196368111,28.14667674809387,28.14667674809387,28.069081867831418,32.35689466797387,1.7768475386001983,0.5085059338667798
69,31.40011624182305,27.5381205974006,27.5381205974006,25.616714933340162,30.450107628757966,1.7458928414990789,0.5243065444681803
70,31.547006197102125,27.122378918694487,27.122378918694487,23.208870528487612,29.726443185411814,1.6960163049673171,0.5376714032395817
71,31.44679633921395,26.68176465513583,26.68176465513583,21.291935155072043,28.419161899969325,1.6641049093019085,0.549687069614581
72,31.580945204347508,26.148444969312973,26.148444969312973,18.57185542589419,27.088885872294796,1.607218742158379,0.5645664503324969
73,31.44259849312713,25.27430679148701,25.27430679148701,15.088177442430457,24.146849727453123,1.5424869971412236,0.5868013202976079
74,31.52328821680885,24.808717284886875,24.808717284886875,13.106446292177836,22.622899837539393,1.4980875746773203,0.597801700681519
75,31.041064736893286,23.747556152958158,23.747556152958158,9.941912545750442,18.315052858206705,1.4435243740966182,0.62459169679306
76,31.415946587680587,23.141690431458986,23.141690431458986,7.500833396874078,16.15357596159244,1.370841311829368,0.6346740607377535
77,31.57608272094561,22.756143200338588,22.756143200338588,6.189585299584621,14.626663270865723,1.3306567073163202,0.6404603914041258
78,31.725221827435654,22.240736578277076,22.240736578277076,4.671955896930701,12.458141655893566,1.2818454143420892,0.6477323339285481
79,31.70856824266905,21.72822171013218,21.72822171013218,3.4759860868000407,10.16488327367777,1.2439595491274558,0.6563313651325795
80,31.960671144392453,21.628542957400192,21.628542957400192,3.0706607177525993,9.773356680671379,1.2214372294912361,0.6537800541045167
81,31.636943594475113,20.97416644648138,20.97416644648138,1.9917284705919844,6.6819780908966,1.1916399518468996,0.6688458846899081
82,31.59467834936764,20.704063112920885,20.704063112920885,1.535444937362474,5.40824847795086,1.1740087643740187,0.673416451306448
83,31.680167297538066,20.545113436134532,20.545113436134532,1.2425253788713255,4.66458653790598,1.1572833497249138,0.6738422734268277
84,31.31225478945903,19.951875157857938,19.951875157857938,0.46593481475999665,1.8017777753679345,1.1345743299496804,0.6892756979145369
85,31.305632081144772,19.820836614535544,19.820836614535544,0.2931849136298058,1.1696703628787277,1.1252921761065937,0.6911001456228181
86,31.080220398188953,19.600672482502958,19.600672482502958,0.025991777195027863,0.10176752316157868,1.1218260347662066,0.6990280601454346
87,31.189543119449503,19.586366972312895,19.586366972312895,0.0079810477248714,0.0325423443565545,1.1146048458144875,0.6966956784581835
88,31.75633007763964,20.14361929977619,20.14361929977619,0.6420604626985937,2.7456970037648514,1.123344484654477,0.6771665324590106
89,31.47601626635746,20.049571521066774,20.049571521066774,0.5723952942458685,2.2787392126651764,1.132441787709425,0.6844523893368784
90,31.25266388645934,19.951223267887467,19.951223267887467,0.4734827622516956,1.7964384537799463,1.1379192461307446,0.6905838178567925
91,31.714618080626487,20.819306152057525,20.819306152057525,1.6790959562561272,5.966435507065879,1.1755928759922103,0.6695317997592665
92,31.468142620752175,20.872917559694667,20.872917559694667,1.8897030445906553,6.1839741711530785,1.1939486138657105,0.6734165026779504
93,31.666417542879717,21.115988553594452,21.115988553594452,2.240523992092033,7.347602040253188,1.2004936771005055,0.6662786737653899
94,31.29341464270078,20.94037011698586,20.94037011698586,2.1012848617088187,6.4708979108917895,1.2092205622960515,0.675562066069813
95,31.451742400064248,21.03058628374526,21.03058628374526,2.194261756425811,6.914801824550332,1.2067041825343088,0.6713696096550295
96,31.0969467954653,20.696064297216775,20.696064297216775,1.7266041563631547,5.308247164025873,1.2023526670803113,0.6829181440035474
97,30.975706610180826,20.582052766790945,20.582052766790945,1.5622960618242643,4.762219078488011,1.2008411168276403,0.6869527485444553
98,31.004252934073406,20.728193122862375,20.728193122862375,1.8253228103286263,5.4448215723986575,1.2101759040413802,0.6840861309204265
99,30.88161265219159,20.787208617415928,20.787208617415928,1.992368007571295,5.69951503800044,1.221803998565304,0.6852822303557782
100,31.076140365238423,21.022593279512822,21.022593279512822,2.3746652328240963,6.812633148442016,1.2281836595648814,0.6780111048099173
101,30.548774116157258,20.597536856513333,20.597536856513333,1.7473051906658574,4.780007390645221,1.2268916008717432,0.6943599432952401
102,31.28316000662338,21.102932756772525,21.102932756772525,2.4279286460940144,7.218984093075205,1.222052633632687,0.6731848022283566
103,31.415042575174073,21.054931892831835,21.054931892831835,2.2610042455066406,7.0212622658383985,1.2106844256157023,0.671648377194441
104,31.806925346534218,21.536752076650462,21.536752076650462,2.9904932783785703,9.31727612581728,1.2236906900619315,0.6576811442191646
105,31.543818728873017,21.63204480317518,21.63204480317518,3.385225163350679,9.687453630295856,1.2465395119319804,0.6604364662070699
106,31.472802544419185,21.843235594527865,21.843235594527865,3.9239040611445786,10.615870292168719,1.266831053994595,0.6580163851129781
