Frame,AnkleX,AnkleY,HeelX,HeelY,MetatX,MetatY,ToeX,ToeY,KneeX,KneeY,HipX,HipY,angle_old,angle,Cuff_x,Cuff_y,thigh_length,spring length,GroundRX,GroundRY,AnkleRX,AnkleRY,GroundCoFPX,AnkleM,KneeRX,KneeRY,KneeM,HipRX,HipRY,HipM,FootAA,FootAX,FootAY,FootCoMX,FootCoMY,LegAX,LegAY,LegAA,LegCoMX,LegCoMY,ThighAA,ThighAX,ThighAY,ThighCoMX,ThighCoMY
1,9.31,21.44,2.95,24.24,7.53,9.35,11.73,3.63,41,47.4,44.94,78.58,82.79810089,97.20189911,47.12487435,95.87045235,31.42794934,20.94175104,0,0,20.9,3.9,0,1.6,52,31.6,7,59.7,112.1,22.9,118.27,26.39,-4.92,0.089,0.153,11.66,0.58,40.67,0.272,0.362,24.42,1.36,4.4,0.43,0.652
2,12.7,22.46,7.23,26.02,10.54,10.63,13.72,4.77,45.02,46.89,47.31,78.58,85.86684553,94.13315447,48.59095551,96.30641059,31.77263288,21.81741793,0,0,19.8,0,0,1.6,41.1,27.1,7,30.3,117.1,17.8,138.72,24.92,-9.81,0.12,0.165,7.99,0.37,56.27,0.308,0.366,18.34,-1.89,6.06,0.46,0.652
3,16.49,23.73,10.64,27.3,14.2,12.03,17.63,6.43,48.68,47.27,49.57,78.71,88.37851052,91.62148948,50.06384826,96.15560599,31.45259449,22.06275828,0,0,17.6,-3.1,0,1.5,30.8,22.2,6.9,9.1,116.7,13.8,142.01,22.11,-13.77,0.155,0.174,4.97,-0.29,66.77,0.347,0.37,12.48,-3.83,6.86,0.489,0.653
4,20.81,24.37,14.71,27.55,18.78,12.53,22.47,6.94,52.5,47.53,51.74,79.21,-88.62574363,88.62574363,52.16423802,61.52597313,31.68911485,22.29408262,0,0,14.9,-5,0,1.3,22,17.8,6.5,-3.8,111.5,10.8,132.71,18.72,-16.13,0.195,0.18,2.66,-1.25,71.22,0.386,0.374,5.97,-4.53,6.72,0.518,0.655
5,24.96,24.24,18.72,27.42,23.17,12.66,27.12,7.32,56.13,47.91,53.33,79.09,-84.8685371,84.8685371,54.87782263,61.85388941,31.30546917,21.26358929,0,0,12.3,-5.5,0,1.1,15.1,14.6,5.8,-9.4,102.8,8.5,115.36,15.54,-16.7,0.239,0.183,1.03,-2.27,70.05,0.425,0.378,-1.93,-4.32,5.74,0.546,0.659
6,29.33,24.62,23.09,27.17,28.31,12.41,32.51,6.81,59.87,48.67,55.41,79.98,-81.89295636,81.89295636,57.89567885,62.5300886,31.62606046,20.9064344,0,0,10.3,-4.7,0,0.9,10.1,12.7,4.8,-10.6,91.7,6.7,93.06,12.91,-15.72,0.287,0.182,-0.07,-3.27,64.35,0.465,0.381,-10.64,-3.64,4.11,0.572,0.664
7,33.57,23.73,26.95,26.02,33.44,12.03,38.02,6.81,63.34,49.44,56.73,80.49,-77.98213643,77.98213643,60.42496696,63.13315823,31.74578082,20.18548147,0,0,8.6,-3,0,0.7,6.5,12.2,3.6,-10,80.4,5,68.58,10.83,-13.58,0.336,0.178,-0.78,-4.09,55.75,0.505,0.384,-18.57,-2.92,2.2,0.598,0.67
8,38.78,23.22,31.27,25.01,39.55,11.26,44.38,6.3,66.9,50.84,58.89,81,-75.12653617,75.12653617,63.30640728,64.37093091,31.20553957,19.19299842,0,0,7.3,-0.7,0,0.6,4.1,13.4,2.3,-9.8,71.3,3.4,44.92,9.2,-10.64,0.388,0.171,-1.2,-4.55,46.45,0.545,0.385,-24.25,-2.45,0.42,0.624,0.677
9,43.11,22.21,35.73,22.84,45.01,10.24,50.36,6.04,69.96,51.09,60.79,81.12,-73.01935659,73.01935659,65.87131941,64.47964865,31.39888215,18.87972872,0,0,6.3,2,0,0.5,2.5,15.9,1,-10.4,65,2,25.05,7.94,-7.27,0.442,0.162,-1.41,-4.61,38.02,0.584,0.386,-27.38,-2.28,-1.15,0.648,0.683
10,48.15,21.06,40.64,20.93,51.46,8.97,57.05,5.28,73.22,51.73,62.78,82.01,-70.97672657,70.97672657,68.65666926,64.96540753,32.02923664,18.88138328,0,0,5.5,4.8,0,0.4,1.4,19.1,-0.1,-11.7,60,0.9,10.88,6.9,-3.8,0.497,0.152,-1.52,-4.42,30.5,0.624,0.386,-28.82,-2.31,-2.6,0.673,0.689
11,53.23,20.04,45.73,19.02,57.56,8.21,63.54,5.15,76.27,53,64.69,82.4,-68.50163307,68.50163307,71.13935409,66.02599219,31.59836072,18.03109496,0,0,4.7,7.5,0,0.4,0.4,22.8,-1,-13.3,56.1,0,2.33,5.88,-0.37,0.554,0.14,-1.61,-4.07,23.32,0.662,0.385,-29.42,-2.41,-3.94,0.697,0.695
12,58.27,18.52,51.27,16.86,63.99,7.44,70.23,5.03,79.01,53.51,66.67,82.78,-67.14009747,67.14009747,73.57129149,66.41040502,31.76489414,17.8425139,0,0,3.7,10.2,0,0.5,-0.9,27.1,-1.9,-15.2,54.5,-0.8,-2.26,4.69,2.99,0.612,0.129,-1.73,-3.47,16.47,0.701,0.383,-29.22,-2.53,-4.97,0.72,0.7
13,63.68,16.86,56.56,14.44,70.3,6.3,76.79,4.52,81.62,54.15,68.65,82.65,-65.53030112,65.53030112,75.82103273,66.89252638,31.31247196,17.17360675,0,0,2.5,12.6,0,0.5,-2.8,31.8,-2.7,-18.1,55.5,-1.5,-4.67,3.15,6.11,0.671,0.118,-1.99,-2.63,10.44,0.739,0.38,-27.99,-2.69,-5.63,0.743,0.704
14,69.22,15.59,62.23,12.66,76.73,5.79,83.48,4.77,83.99,54.53,70.88,83.16,-65.39642219,65.39642219,78.16127405,67.25894158,31.48887105,17.26224022,0,0,0.9,14.7,0,0.6,-5.7,36.2,-3.5,-21.7,57.6,-2.5,-5.67,1.18,8.65,0.731,0.109,-2.49,-1.74,5.57,0.777,0.377,-26.18,-2.83,-6.02,0.766,0.706
15,74.72,14.44,68.23,11.01,83.63,5.66,90.12,5.54,86.56,54.78,73.19,82.9,-64.57067386,64.57067386,80.54843586,67.42361881,31.13665525,16.84128109,0,0,-0.9,16.1,0,0.6,-9.5,39.6,-4.2,-25.3,59.9,-3.6,-5.01,-1.12,10.42,0.791,0.101,-3.23,-0.98,1.65,0.814,0.374,-24.68,-2.79,-6.22,0.787,0.708
16,80.36,13.43,74.13,9.1,89.53,5.28,96.14,5.54,88.51,54.91,74.89,83.03,-64.15664392,64.15664392,82.40722848,67.5098484,31.24482037,16.81967396,0,0,-3,16.8,0,0.6,-14.2,42,-4.9,-28.4,62.3,-5,-3.24,-3.73,11.39,0.851,0.096,-4.22,-0.37,-2,0.851,0.37,-23.85,-2.51,-6.23,0.809,0.708
17,85.86,12.66,80.01,7.57,95.53,5.79,102.4,6.55,90.57,54.91,76.95,82.9,-64.05233634,64.05233634,84.44430045,67.49871737,31.12787336,16.7189603,0,0,-5.4,17,0,0.6,-19.7,43.4,-5.8,-31.3,65.1,-6.7,-3.16,-6.8,11.57,0.909,0.093,-5.38,0.11,-6.16,0.886,0.366,-23.01,-2.04,-5.97,0.829,0.707
18,91.54,12.03,86.32,6.55,101.72,5.79,108.84,7.7,93.06,54.65,79.19,82.65,-63.64815669,63.64815669,86.84564944,67.19519219,31.24703026,16.70634216,0,0,-8.3,16.3,0,0.6,-25.5,43.7,-6.8,-33.4,69,-8.7,-8.11,-10.45,10.78,0.967,0.092,-6.44,0.45,-11.89,0.921,0.362,-20.96,-1.4,-5.34,0.85,0.704
19,96.85,11.64,92.02,5.41,107.79,6.17,114.16,8.97,94.56,54.02,81.2,82.4,-64.79109873,64.79109873,88.597122,66.68665252,31.36740346,17.04427432,0,0,-11.5,14.8,0,0.5,-30.7,42.7,-8,-33.9,74.4,-10.5,-19.17,-14.54,8.8,1.023,0.094,-7.2,0.66,-20.2,0.954,0.358,-16.94,-0.55,-4.22,0.87,0.701
20,101.45,11.77,97.5,5.15,113.28,7.7,119.39,10.88,96.1,54.02,83.12,82.14,-65.22227528,65.22227528,90.23261221,66.73116677,30.97119307,16.87804053,0,0,-14.9,12.2,0,0.3,-35.5,40.7,-9.4,-33.1,82.1,-12.2,-34.96,-18.79,5.61,1.075,0.097,-7.72,0.87,-31.54,0.986,0.355,-11.04,0.42,-2.51,0.889,0.696
21,106.56,11.77,103.13,4.77,118.78,8.21,124.38,12.15,98.16,53.25,85.69,81.5,-66.18257286,66.18257286,92.50646998,66.05771636,30.87982189,17.03136012,0,0,-18.1,9,0,0.1,-39.9,38.2,-11.1,-32.1,91.9,-14,-53.64,-22.83,1.47,1.124,0.102,-8.18,1.17,-45.55,1.017,0.352,-4.04,1.38,-0.34,0.909,0.692
22,110.68,11.52,108.39,4.14,123.15,9.35,128.24,13.3,99.73,51.86,87.77,80.49,-67.32757795,67.32757795,94.33353262,64.77813221,31.02770536,17.38286043,0,0,-20.8,5.2,0,-0.1,-43.9,34.9,-12.8,-30.9,100.1,-16,-73.48,-26.24,-3.24,1.168,0.107,-8.64,1.35,-60.6,1.045,0.348,2.83,2.28,1.68,0.93,0.687
23,114.85,12.15,112.43,4.9,126.94,10.88,131.77,15.33,101.36,51.73,89.91,80.61,-68.37325134,68.37325134,96.20017987,64.74446335,31.06697443,17.63963094,0,0,-22.7,1.6,0,-0.3,-46.6,30.6,-14.3,-29.4,103.1,-17.9,-91.19,-28.53,-7.83,1.206,0.111,-8.98,1.08,-73.46,1.072,0.346,8.12,3.03,2.98,0.95,0.682
24,118.33,12.15,116.3,5.28,130.55,11.39,135.39,16.23,103.57,51.09,92.25,80.49,-68.94159717,68.94159717,98.53952865,64.15500509,31.50400609,18.06331717,0,0,-23.2,-1.2,0,-0.5,-47.3,26.1,-15.1,-27.9,101.5,-19.1,-102.29,-29.23,-11.35,1.239,0.114,-9.03,0.43,-80.46,1.097,0.343,10.77,3.42,3.5,0.972,0.678
25,120.75,12.28,118.84,4.65,133.22,11.64,137.8,16.73,105.23,50.96,94.41,80.1,-69.62948908,69.62948908,100.3567456,64.08445776,31.08395084,17.92630747,0,0,-22.2,-2.4,0,-0.5,-45.3,23.3,-14.6,-26.8,99.4,-18.7,-104.08,-27.9,-12.86,1.266,0.114,-8.67,-0.16,-79.07,1.12,0.34,10.49,3.26,3.62,0.994,0.675
26,122.99,12.03,121.34,4.14,135.21,11.39,139.79,16.23,107.59,50.84,97.03,79.72,-69.91501178,69.91501178,102.7822091,63.98857965,30.75008943,17.76242216,0,0,-19.5,-1.7,0,-0.5,-40.6,24.1,-12.7,-26.5,100.7,-16.1,-97.5,-24.51,-11.9,1.286,0.111,-7.92,-0.14,-68.79,1.141,0.338,7.65,2.48,3.69,1.016,0.672
27,124.31,11.9,122.14,3.75,136.27,10.37,140.85,15.21,109.93,50.58,99.37,79.98,-70.24254028,70.24254028,105.1974505,63.75584816,31.23897566,18.16627834,0,0,-15.6,1,0,-0.3,-34.1,29.1,-9.5,-27.3,106.9,-11.7,-85.55,-19.64,-8.61,1.302,0.106,-6.93,0.76,-51.73,1.161,0.335,3.48,1.2,3.92,1.04,0.671
28,124.94,10.63,122.65,3.25,137.16,8.97,141.99,13.68,112.34,50.46,101.53,79.34,-69.47874934,69.47874934,107.4322333,63.57159129,30.83683674,17.72615408,37.3,87.1,-48.7,-82.4,1.227,-1.7,-64.3,-50.2,-33.8,-66.1,29.7,-54.4,-68.8,-14.43,-3.92,1.314,0.099,-5.87,2.26,-32.87,1.179,0.333,0.13,-0.31,4.29,1.063,0.67
29,125.83,9.61,123.03,3.5,137.66,7.95,142.88,11.9,114.89,50.33,104.45,79.6,-70.36974016,70.36974016,110.1867132,63.51632221,31.07614037,18.08221777,-4.2,192.6,-3.8,-184.1,1.244,4.6,-16.8,-148.2,-19.9,-26.3,-66.4,-37.6,-43.96,-10.02,0.78,1.322,0.092,-4.9,3.67,-18.01,1.196,0.331,-0.49,-1.67,4.62,1.087,0.669
30,127.02,9.74,123.2,4.14,138.34,6.3,144.45,10.24,116.96,50.46,106.78,79.6,-70.74324185,70.74324185,112.342772,63.67670177,30.86700504,18.02049508,-43.7,304.1,38.2,-292.9,1.261,8.3,27.2,-255.2,-7.6,12.4,-173.3,-23.5,-10.5,-7.03,4.32,1.329,0.084,-4.1,4.33,-9.85,1.212,0.329,1.69,-2.61,4.64,1.11,0.67
31,127.82,9.48,123.12,4.01,138.77,5.41,145.13,8.59,118.53,50.33,108.86,79.6,-71.71787091,71.71787091,114.1382517,63.62332715,30.82599228,18.20227923,-74,404.2,69.8,-391.4,1.291,2.8,59.9,-354.6,-4.5,41.3,-276.1,-20.8,24.51,-5.31,6.26,1.334,0.078,-3.7,3.99,-6.21,1.228,0.329,4.27,-3.28,4.04,1.133,0.672
32,128.33,9.61,123.24,4.14,139.27,4.65,145.38,6.81,120.44,50.58,111.28,80.1,-72.76098256,72.76098256,116.2909809,63.95107476,30.90851015,18.48216035,-91.9,476.6,88.4,-463.4,1.29,6.9,77.7,-429.9,7.8,54.7,-359.4,-11.1,52.05,-4.39,6.77,1.339,0.073,-4.01,2.75,-2.78,1.242,0.33,3.58,-4.05,2.63,1.154,0.675
33,129.07,9.35,123.6,4.14,139.51,4.14,146.38,6.3,122.84,50.96,113.8,80.49,-72.97911235,72.97911235,118.7419156,64.34677348,30.88272171,18.51087938,-102.7,521.7,99.7,-508.9,1.301,4.6,86.3,-480.2,14.5,58.3,-421,-7.8,67.24,-3.77,6.26,1.342,0.069,-5.05,0.98,2.9,1.256,0.331,-2.78,-4.94,0.62,1.175,0.678
34,129.45,9.61,123.98,4.39,139.63,3.37,146.25,5.41,125.25,51.86,115.58,81.38,-71.86252227,71.86252227,120.8918265,65.16437236,31.06347212,18.39649254,-110.5,552.9,108.1,-541.1,1.304,5,91.5,-516.7,24.8,60.4,-468.3,-0.4,68.18,-3.06,5.12,1.345,0.066,-6.23,-0.67,10,1.269,0.332,-13.38,-5.49,-1.26,1.196,0.682
35,129.83,9.74,123.98,4.26,140.01,3.63,147.14,5.41,127.54,51.86,117.36,81.89,-71.27363205,71.27363205,123.0453158,65.11887681,31.70856824,18.71909576,-114.2,579.8,112.5,-569,1.311,2.6,94.3,-547.2,31.6,63.8,-504.4,4.7,55.74,-2.15,3.71,1.347,0.065,-6.81,-1.61,15.87,1.28,0.333,-23.43,-5.38,-2.26,1.214,0.685
36,129.46,9.1,123.48,4.14,139.39,3.75,146.52,4.77,128.32,51.86,118.78,81.63,-72.23158809,72.23158809,124.0476153,65.19216896,31.26122998,18.61335089,-110.5,599.6,109.4,-589.9,1.317,-0.5,91.7,-568.4,35,64.2,-526,7.3,35.86,-1.38,2.36,1.348,0.064,-6.62,-1.74,18.47,1.29,0.334,-28.36,-4.85,-2.32,1.232,0.678
37,129.74,9.35,123.89,4.65,139.8,3.63,146.54,4.9,129.87,51.86,120.96,81.63,-73.33784269,73.33784269,125.8558103,65.27216914,31.07476468,18.72070779,-98.1,604.5,97.1,-595.7,1.316,0.2,80.9,-573.4,37.8,55.7,-529.1,9.9,17.08,-1.21,1.25,1.35,0.064,-6.09,-1.43,17.56,1.299,0.334,-26.92,-4.43,-2,1.249,0.69
38,130.1,9.23,124.24,4.52,140.02,3.75,147.27,4.52,130.86,51.6,123.1,82.27,-75.80123444,75.80123444,127.425989,65.17230889,31.6364742,19.64478378,-79.8,589.9,78.5,-581.7,1.321,-3.5,63.7,-558.2,32.5,39,-512.7,5,4.56,-1.64,0.46,1.351,0.064,-5.57,-0.98,14.51,1.306,0.334,-20.92,-4.34,-1.77,1.265,0.691
39,130.53,9.61,124.55,4.9,140.45,3.75,147.33,5.28,132.18,52.36,124.93,83.03,-76.70014292,76.70014292,128.9593377,65.98451225,31.51525662,19.74747477,-62,558.1,60.3,-550.2,1.322,-5.1,47.2,-525.1,28.1,22.5,-478.1,3,-1.79,-2.06,0.1,1.352,0.065,-4.93,-0.39,10.97,1.312,0.334,-12.96,-4.36,-1.52,1.28,0.693
40,130.37,9.35,124.64,4.26,140.55,3.5,147.04,4.77,133.04,51.35,126.94,82.78,-79.01646568,79.01646568,130.3726236,65.09354769,32.01647857,20.60291338,-48.7,516.7,47.2,-508.7,1.325,-6.6,36.8,-481.5,24.8,13.4,-431.6,4.7,-4.87,-1.91,0.16,1.352,0.065,-3.89,0.4,7.87,1.317,0.334,-4.84,-4.13,-1.01,1.294,0.694
41,130.27,9.61,124.67,4.77,139.94,3.63,147.19,4.52,133.58,51.73,128.61,83.03,-80.97755997,80.97755997,131.384502,65.55677796,31.69212678,20.76837243,-39.8,473.4,38.8,-465.3,1.333,-10.5,32.2,-436.1,20.2,12.3,-383,6.5,-7.39,-1.21,0.43,1.352,0.065,-2.49,1.14,5.13,1.322,0.334,2.16,-3.5,-0.44,1.307,0.695
42,129.98,8.97,123.75,4.77,139.91,3.37,146.91,4.77,134.31,51.35,130.24,83.03,-82.67918508,82.67918508,132.5260508,65.23587502,31.94037101,21.30369663,-33,433.4,32.7,-425.2,1.335,-10.6,29.8,-395.6,19.8,15.2,-341.7,12,-10.28,-0.4,0.54,1.352,0.065,-1.08,1.31,2.56,1.326,0.334,6.84,-2.56,-0.31,1.32,0.695
43,130.39,9.61,124.54,4.14,140.19,3.5,147.31,4.52,134.72,50.96,132.04,82.9,-85.2036993,85.2036993,133.5494109,64.91097564,32.05223861,21.90022403,-27,400.3,27.2,-392.2,1.345,-14.1,27.4,-364.4,15.8,18.7,-314.3,12.5,-12.53,0.26,0.31,1.351,0.066,0.06,0.64,0.58,1.329,0.334,8.52,-1.53,-0.97,1.332,0.696
44,130.23,9.61,124.12,4.52,139.9,4.01,146.78,4.26,135.7,52.62,133.03,83.41,-85.04391049,85.04391049,134.4905085,66.5676568,30.90554966,20.9976992,-21.8,377.1,22.4,-369.4,1.358,-18.7,24.6,-344.7,10.9,21,-301.1,10.9,-12.14,0.76,-0.11,1.351,0.066,0.82,-0.53,-0.22,1.333,0.335,7.81,-0.65,-2.12,1.344,0.697
45,129.89,9.48,123.91,4.77,139.82,3.63,146.95,4.26,136.26,51.86,134.86,83.54,-87.46963589,87.46963589,135.6419164,65.84634951,31.71091926,22.08580998,-18.1,365,19,-357.6,1.369,-22.5,22.3,-335.4,7.8,21.9,-296.7,10.1,-8.07,1.07,-0.47,1.351,0.067,1.24,-1.5,0.1,1.337,0.336,6.1,-0.07,-2.99,1.355,0.697
46,130.22,10.24,124.37,4.9,140.02,3.37,147.02,4.77,137.09,51.86,136.2,83.8,-88.40388065,88.40388065,136.7000449,65.85456805,31.95239741,22.45634243,-16.6,362.3,17.4,-355,1.377,-25.3,21,-333.8,6.6,22.5,-295.3,11.2,-1.88,1.1,-0.6,1.351,0.067,1.34,-1.86,0.69,1.341,0.336,4.22,0.26,-3.02,1.367,0.696
47,130.06,9.99,124.08,4.77,140.11,3.75,146.99,4.26,137.95,51.47,138.08,82.9,89.76301594,90.23698406,138.152094,100.3301198,31.43026885,22.31133432,-16.8,366.5,17.6,-359.1,1.384,-27.9,21,-337.2,6.6,24.4,-295,13.8,3.55,0.96,-0.45,1.351,0.067,1.27,-1.62,0.65,1.345,0.335,2.22,0.61,-2.35,1.378,0.695
48,130.47,10.12,124.36,5.03,140.01,3.25,147.01,4.01,138.74,51.6,139.38,82.9,88.82862013,91.17137987,139.7337978,100.2029257,31.30654245,22.03656216,-16.8,375,17.5,-367.3,1.39,-30.3,20.7,-343.7,7,27.3,-296.3,16.7,6.31,0.86,-0.13,1.352,0.067,1.21,-0.95,-0.22,1.35,0.335,0.01,1.15,-1.46,1.39,0.693
49,130.49,9.99,124.64,5.28,140.16,3.12,147.04,4.52,139.15,51.09,140.67,82.78,87.25393214,92.74606786,141.5192659,100.4860765,31.7264322,22.05554246,-14.5,386.1,15.2,-378.2,1.396,-33.5,18.3,-352.3,5.9,27.9,-300.2,17.7,5.5,0.88,0.13,1.352,0.067,1.17,-0.09,-1.19,1.355,0.334,-2.1,1.7,-0.63,1.402,0.691
50,130.56,9.99,124.2,4.9,139.6,3.63,146.85,4.01,140.11,51.09,142.02,82.65,86.53670389,93.46329611,143.0842723,100.2355682,31.61774344,21.83083274,-9.6,400.3,10.3,-392.4,1.406,-38.8,13,-364.3,2.3,23.4,-308.6,15.2,1.74,0.85,0.22,1.353,0.068,1,0.72,-1.64,1.36,0.333,-3.38,1.85,0.01,1.414,0.689
51,130.49,10.24,124.76,4.77,140.03,3.5,147.28,3.75,140.92,50.58,143.85,82.01,84.67410622,95.32589378,145.4805119,99.50044008,31.56627631,21.42241186,-3.8,418.8,4.2,-410.8,1.417,-45.1,6,-381.2,-2.3,14.5,-323,11.2,-2.68,0.55,0.32,1.354,0.068,0.66,1.3,-1.93,1.366,0.332,-3.24,1.51,0.45,1.427,0.687
52,131.27,10.24,125.17,5.28,140.18,3.63,147.18,4.14,142.22,50.84,146.04,82.4,83.09853218,96.90146782,148.1777282,100.0614403,31.79034445,21.27533703,2.2,441,-2.1,-432.7,1.412,-45.4,-0.9,-402.2,-0.1,5.7,-342.8,14.6,-5.69,0.05,0.66,1.355,0.068,0.45,1.62,-2.99,1.371,0.332,-1.71,1.16,0.67,1.44,0.685
